verb,synonym,example
بعث,ايقظ,بعثه من نومه
بعث,ارسل,بعث اليه رسالة
بغى,اعتدى-ظلم,بغى الرجل على الرجل
بغى,تجاوز,بغى في اذانه
باء,اعترف-اقر,باء بذنبه
باء,رجع,باء اليه
باء,قاد,باء بالطفل الى بيته
باء,اخفق,باءت الجهود بالفشل
باء,احتمل-اعترف,باء بما عليه
تاق,اشتاق,تاق الى الشيء
تاق,اشفق-حذر,تاق منه
تاق,جاد,تاق بنفسه
تاق,فاض,تاقت العين بالدمع
تاق,نقه,تاق من المرض
تاق,عطف,تاق عليه 
ثنى,رد,ثنى الشيء
ثنى,صرف,ثنى فلانا عن حاجته
ثنى,جاء ,ثنى بالامر
ثنى,مدح,ثنى عليه مجهوده
ثنى,ضاعف,ثنى جهده
جلس,قعد,جلس الواقف
جلس,اقام,جلس الشيء
جلس,تهيا-استعد,جلس الى المائدة
جلس,تربع,جلس على عرش اسلافه
جلس,صحب-رافق,جلس مع صديقه
جرى,اسرع-قصد,جرى الى كذا
جرى,نسب-فوض,اجرى الامر الى فلان
جرى,انساب,جرى الماء في الوديان
جرى,ابحر,جرت السفينة
جرى,بكى,جرى دمعه
جرى,مر-مضى,جرى الامر
جرى,حصل-وقع,جرى له مكروه
جرى,تذكر,جرى على باله
جرى,شاع-انتشر,جرى على كل لسان
جلب,جنى,جلب عليه
جلب,كسب,جلب الخير لاهله
جلب,استورد,جلب البضائع من الخارج
جلب,سبب,جلب له السعادة
جلب,ادخل,جلب المحبة الى القلب
جلب,ساق,جلب الشيء
جمع,لبس,جمع عليه ثيابه
جمع,تشدد,جمع القوم لعدوهم
جمع,اضاف ,جمع في الصلاة
جمع,اتفق,اجمع القوم على كذا
جمع,اضاف,جمع الاعداد
جمع,حشد,جمع الناس ليخبرهم امرا
جمع,الف,جمع القلوب 
جمع,عزم,جمع امره على الرحيل
جنح,مال,جنح للسلم
جنح,اعتمد-استند,جنح على مرفقيه
جنح,اقبل,جنح على الشيء
جنح,تابع,جنح اليهم 
جنح,انقاد,جنح الرجل
جنح,كسر,جنح الطائر 
جاء,اتى-قدم,جاء به
جاء,اتى,جاء في الوقت المناسب
جاء,قاد,جاء به مقيدا
جاء,ارتكب,جاء بفعل منكر
جاء,نزل,جاء الغيث 
جاء,حدث-تحقق,جاء الامر 
جاء,ورد,جاء في المقال
جاء,قدم-اتى,جاء اليه
حجب,منع,حجب عنه كذا 
حجب,منع ,حجب فلانا
حجب,ستر,حجب الشيء
حكم,قضى-فصل,حكم عليه القاضي
حكم,فوض,حكمه في الامر
حكم,ارجع-منع,احكمه عن الامر
حكم,حكم-فصل,تحكم في الامر
حكم,نصر,حكم له
حكى,نقل,حكى عنه الحديث
حكى,نم,حكى عليه
حكى,شابه,حكى الشيء
حكى,تكلم,حكى مع فلان
حكى,روى,حكى قصة
خاف,احتاط,خاف على نفسه
خاف,خشي,خاف من العقاب
خاف,فزع,خاف من الحيوان
خاف,اتقى,خاف الله
خاف,ارتعب-اضطرب,خاف الشخص
دفع,ادى-رد,دفع اليه امانته
دفع,القى,دفعه عن عمد 
دفع,رحل,دفع عن الموضع رحل عنه
دفع,نحى-ابعد,دفع الشيء
دفع,انتهى,دفع الى فلان 
دفع,رد,دفع القول
دفع,سدد,دفع اجرة النقل
رسم,خط,رسم الشيء
رسم,كتب,رسم الكتاب
رسم,صمم-خطط,رسم تصورا
رسم,وصف,رسم له خطة العمل
رسم,غاب,رسم في الأرض
رسم,ذهب,رسم نحوه
رسم,كتب-خط,رسم على كذا
سمع,اصغى,سمع له
سمع,فضح,سمع بفلان
سمع,تلقى ,سمع الخبر
سمع,استجاب,سمع الله دعاءه 
سمع,اطاعه,سمغ لكلامه
عرض,بسط-طرح,عرض الموضوع
عرض,اظهر,عرض له امر
عرض,خطر,عرض له راي
عرض,منع,عرض له عارض
عرض,قتل,عرض القوم على السيف
عرض,احرق,عرض القوم على النار
عرض,أوسع,عرض الشيء
وقف,قام,وقف الشخص
وقف,نهض,وقف على قدميه
وقف,ابتعد,وقف بعيدا
وقف,طلب-استنجد,وقف على باب فلان
وقف,سكن,وقف
وقف,عجز,وقف مكتوف اليدين
وقف,ترقب-ترصد,وقف بالمرصاد
وقف,ساند-ساعد,وقف معه
وقف,قوى-ساعد-ساند,وقف الى جانبه
وقف,فهم-تبين,وقف على ما عند غيره
وقف,اعترض,وقف في وجه العدو
وقف,منع,وقف فلانا عن الشيء
وقف,اطلع,وقف الشخص على الامر
وقف,عرف ,وقف على السر
تردد,تكرر,تردد الكلام
تردد,اعاد-المجيء-جاء-مجددا,تردد اليه اكثر من مرة
تردد,ترجح-تراجع,تردد في الامر
تردد,تعلثم-تعثر-اشتبه,تردد في جوابه
تردد,يتداول,هذا الخبر يتردد على الالسنة
تردد,تراجع,تردد
تردد,تكرر,تردد الصوت
ضحك,انبسط,ضحك الشخص
ضحك,سخر,ضحك عليه
ضحك,ابتسم-احسن-استقبال,ضحك في وجهه
ضحك,انبسط,ضحك من حركاته
ضحك,غش-خدع,ضحك على فلان
دعا,حث,دعا الى الامر
دعا,اقتضى-تطلب,دعت الحاجة الى ذلك
دعا,ندب,دعا الميت
دعا,طلب,دعا القاضي بالمتهم
دعا,طلب,دعا القوم
دعا,ابتهل-تضرع,دعا الله ان يغفر له
دعا,اذن,دعا الى الصلاة
دعا,استضاف,دعا الشخص على وليمة
دعا,طلب-سوء,دعا عليه
دعا,طلب-الخير,دعا له
نظر,ابصر,نظر الى الشيء
نظر,رثى-اعان-اشفق,نظر لليتيم
نظر,تدبر-فكر,نظر الى الموضوع
ضرب,أصاب-صدم,ضرب شيئا
ضرب,اهمل-احتقر-اعرض,ضرب بالامر عرض الحائط
ضرب,خلط,ضرب البيض بالدقيق
ضرب,كتب,ضرب على الالة الكاتبة
ضرب,عزف,ضرب على البيانو
ضرب,قتل,ضرب رقبته
ضرب,القى,ضرب به الأرض
ضرب,أصاب-عدم,ضرب في الشيئ
كتب,نسخ-خط,كتب المخطوط و نحوه
كتب,ارسل,كتب له
كتب,قضى-قدر,كتب الله عليه العذاب
كتب,ارسل,كتب رسالة لاهله
كتب,اوجب,كتب على نفسه الإخلاص
علق,استمسك,علق بالحبل
علق,حفظ,علق بذهنه
علق,علم,علق امره
علق,وقع,علق الحيوان في الفخ
علق,تعلق-ارتبط-هام,علق بحبها
علق,رجا,علق عليه امالا
علق,اعقب,علق على كلام غيره
علق,مص,علق الصبي
هرب,ابعد,هرب فلان في الأرض
هرب,ولى,هرب السارق من الشرطي
هرب,فر,هرب الجندي من المعركة
هرب,تملص-تنصل,هرب من مسؤوليته
هرب,بالغ,هرب في الامر
هرب,فر,هرب الشخص
