Verb,preposition,sens,example
بسط,,قدم,بسط العذر 
بسط,,اسهب,بسط القول 
بسط,,فرش,بسط يده
بسط,,رحم-عطف-رفق,بسط عليه جناح الرحمة
بسط,على,سيطر,بسط نفوذه على القرية
بسط,ل,ساهد-اعان,بسط له يد المساعدة
بطش,ب,فتك,بطش به
بطش,على,سطى-انقض,بطش عليه
بطش,من,افاق,بطش فلان من الحمى
بطش,في,تبحر,بطش في العلم
بعث,,احيا,بعث الله الخلق
بعث,, ارسل بمفرده,بعثه
بعث,ب,ارسل معه,بعث به
بعث,على,حمل,بعثه على الشيء
بعث,من,ايقظ,بعثه من نومه
بعث,الى,ارسل,بعث اليه رسالة
بغى,على,اعتدى-ظلم,بغى الرجل على الرجل
بغى,في,تجاوز,بغى في اذانه
باء,ب,اعترف-اقر,باء بذنبه
باء,الى,رجع,باء اليه
باء,ب,قاد,باء بالطفل الى بيته
باء,ب,اخفق,باءت الجهود بالفشل
باء,ب,احتمل-اعترف,باء بما عليه
تاق,الى,اشتاق,تاق الى الشيء
تاق,من,اشفق-حذر,تاق منه
تاق,ب,جاد,تاق بنفسه
تاق,ب,فاض,تاقت العين بالدمع
تاق,من,نقه,تاق من المرض
تاق,على,عطف,تاق عليه 
ثنى,,رد,ثنى الشيء
ثنى,عن,صرف,ثنى فلانا عن حاجته
ثنى,ب,جاء ,ثنى بالامر
ثنى,على,مدح,ثنى عليه مجهوده
ثنى,,ضاعف,ثنى جهده
جلس,,قعد,جلس الواقف
جلس,,اقام,جلس الشيء
جلس,الى,تهيا-استعد,جلس الى المائدة
جلس,على,تربع,جلس على عرش اسلافه
جلس,,صحب-رافق,جلس مع صديقه
جرى,الى,اسرع-قصد,جرى الى كذا
جرى,الى,نسب-فوض,اجرى الامر الى فلان
جرى,في,انساب,جرى الماء في الوديان
جرى,,ابحر,جرت السفينة
جرى,,بكى,جرى دمعه
جرى,,مر-مضى,جرى الامر
جرى,ل,حصل-وقع,جرى له مكروه
جرى,على,تذكر,جرى على باله
جرى,على,شاع-انتشر,جرى على كل لسان
جلب,على,جنى,جلب عليه
جلب,ل,كسب,جلب الخير لاهله
جلب,من,استورد,جلب البضائع من الخارج
جلب,ل,سبب,جلب له السعادة
جلب,الى,ادخل,جلب المحبة الى القلب
جلب,,ساق,جلب الشيء
جمع,على,لبس,جمع عليه ثيابه
جمع,ل,تشدد,جمع القوم لعدوهم
جمع,في,اضاف ,جمع في الصلاة
جمع,على,اتفق,اجمع القوم على كذا
جمع,,اضاف,جمع الاعداد
جمع,ل,حشد,جمع الناس ليخبرهم امرا
جمع,,الف,جمع القلوب 
جمع,على,عزم,جمع امره على الرحيل
جنح,ل,مال,جنح للسلم
جنح,على,اعتمد-استند,جنح على مرفقيه
جنح,على,اقبل,جنح على الشيء
جنح,الى,تابع,جنح اليهم 
جنح,,انقاد,جنح الرجل
جنح,,كسر,جنح الطائر 
جاء,ب,اتى-قدم,جاء به
جاء,في,اتى,جاء في الوقت المناسب
جاء,ب,قاد,جاء به مقيدا
جاء,ب,ارتكب,جاء بفعل منكر
جاء,,نزل,جاء الغيث 
جاء,,حدث-تحقق,جاء الامر 
جاء,في,ورد,جاء في المقال
جاء,الى,قدم-اتى,جاء اليه
حجب,عن,منع,حجب عنه كذا 
حجب,,منع ,حجب فلانا
حجب,,ستر,حجب الشيء
حكم,على,قضى-فصل,حكم عليه القاضي
حكم,في,فوض,حكمه في الامر
حكم,عن,ارجع-منع,احكمه عن الامر
حكم,في,حكم-فصل,تحكم في الامر
حكم,ل,نصر,حكم له
حكى,عن,نقل,حكى عنه الحديث
حكى,على,نم,حكى عليه
حكى,,شابه,حكى الشيء
حكى,,تكلم,حكى مع فلان
حكى,,روى,حكى قصة
خاف,على,احتاط,خاف على نفسه
خاف,من,خشي,خاف من العقاب
خاف,من,فزع,خاف من الحيوان
خاف,,اتقى,خاف الله
خاف,,ارتعب-اضطرب,خاف الشخص
دفع,الى,ادى-رد,دفع اليه امانته
دفع,عن,القى,دفعه عن عمد 
دفع,عن,رحل,دفع عن الموضع رحل عنه
دفع,,نحى-ابعد,دفع الشيء
دفع,الى,انتهى,دفع الى فلان 
دفع,,رد,دفع القول
دفع,,سدد,دفع اجرة النقل
رسم,,خط,رسم الشيء
رسم,,كتب,رسم الكتاب
رسم,,صمم-خطط,رسم تصورا
رسم,ل,وصف,رسم له خطة العمل
رسم,في,غاب,رسم في الأرض
رسم,,ذهب,رسم نحوه
رسم,على,كتب-خط,رسم على كذا
سمع,ل,اصغى,سمع له
سمع,ب,فضح,سمع بفلان
سمع,,تلقى ,سمع الخبر
سمع,,استجاب,سمع الله دعاءه 
سمع,ل,اطاعه,سمغ لكلامه
عرض,,بسط-طرح,عرض الموضوع
عرض,ل,اظهر,عرض له امر
عرض,ل,خطر,عرض له راي
عرض,ل,منع,عرض له عارض
عرض,على,قتل,عرض القوم على السيف
عرض,على,احرق,عرض القوم على النار
عرض,,أوسع,عرض الشيء
وقف,,قام,وقف الشخص
وقف,على,نهض,وقف على قدميه
وقف,,ابتعد,وقف بعيدا
وقف,على,طلب-استنجد,وقف على باب فلان
وقف,,سكن,وقف
وقف,,عجز,وقف مكتوف اليدين
وقف,ب,ترقب-ترصد,وقف بالمرصاد
وقف,,ساند-ساعد,وقف معه
وقف,الى,قوى-ساعد-ساند,وقف الى جانبه
وقف,على,فهم-تبين,وقف على ما عند غيره
وقف,في,اعترض,وقف في وجه العدو
وقف,عن,منع,وقف فلانا عن الشيء
وقف,على,اطلع,وقف الشخص على الامر
وقف,على,عرف ,وقف على السر
تردد,,تكرر,تردد الكلام
تردد,الى,اعاد-المجيء-جاء-مجددا,تردد اليه اكثر من مرة
تردد,في,ترجح-تراجع,تردد في الامر
تردد,في,تعلثم-تعثر-اشتبه,تردد في جوابه
تردد,على,يتداول,هذا الخبر يتردد على الالسنة
تردد,,تراجع,تردد
تردد,,تكرر,تردد الصوت
ضحك,,انبسط,ضحك الشخص
ضحك,على,سخر,ضحك عليه
ضحك,في,ابتسم-احسن-استقبال,ضحك في وجهه
ضحك,من ,انبسط,ضحك من حركاته
ضحك,على,غش-خدع,ضحك على فلان
دعا,الى,حث,دعا الى الامر
دعا,الى,اقتضى-تطلب,دعت الحاجة الى ذلك
دعا,,ندب,دعا الميت
دعا,ب,طلب,دعا القاضي بالمتهم
دعا,,طلب,دعا القوم
دعا,,ابتهل-تضرع,دعا الله ان يغفر له
دعا,الى,اذن,دعا الى الصلاة
دعا,على,استضاف,دعا الشخص على وليمة
دعا,على,طلب-سوء,دعا عليه
دعا,ل,طلب-الخير,دعا له
نظر,الى,ابصر,نظر الى الشيء
نظر,ل,رثى-اعان-اشفق,نظر لليتيم
نظر,الى,تدبر-فكر,نظر الى الموضوع
ضرب,,أصاب-صدم,ضرب شيئا
ضرب,ب,اهمل-احتقر-اعرض,ضرب بالامر عرض الحائط
ضرب,ب,خلط,ضرب البيض بالدقيق
ضرب,على,كتب,ضرب على الالة الكاتبة
ضرب,على,عزف,ضرب على البيانو
ضرب,,قتل,ضرب رقبته
ضرب,ب,القى,ضرب به الأرض
ضرب,في,أصاب-عدم,ضرب في الشيئ
كتب,,نسخ-خط,كتب المخطوط و نحوه
كتب,ل,ارسل,كتب له
كتب,على,قضى-قدر,كتب الله عليه العذاب
كتب,ل,ارسل,كتب رسالة لاهله
كتب,على,اوجب,كتب على نفسه الإخلاص
علق,ب,استمسك,علق بالحبل
علق,ب,حفظ,علق بذهنه
علق,,علم,علق امره
علق,في,وقع,علق الحيوان في الفخ
علق,ب,تعلق-ارتبط-هام,علق بحبها
علق,على,رجا,علق عليه امالا
علق,على,اعقب,علق على كلام غيره
علق,,مص,علق الصبي
هرب,في,ابعد,هرب فلان في الأرض
هرب,من,ولى,هرب السارق من الشرطي
هرب,من,فر,هرب الجندي من المعركة
هرب,من,تملص-تنصل,هرب من مسؤوليته
هرب,في,بالغ,هرب في الامر
هرب,,فر,هرب الشخص
